index,Date,Gold 999(AM Price),Gold 999(PM Price),Gold 995(AM Price),Gold 995(PM Price),Gold 916(AM Price),Gold 916(PM Price),Gold 750(AM Price),Gold 750(PM Price),Gold 585(AM Price),Gold 585(PM Price),Silver 999(AM Price),Silver 999(PM Price)
1,2019-10-22,38256,38315,38103,38162,35043,35097,28692,28736,22380,22414,45440,45590
2,2019-10-23,38398,38431,38244,38278,35173,35203,28799,28823,22463,22482,45500,45535
3,2019-10-24,38448,38450,38294,38296,35218,35220,28836,28838,22492,22493,45560,45535
4,2019-10-25,38755,38725,38600,38570,35500,35472,29066,29044,22672,22654,46445,46775
5,2019-10-29,38316,38321,38163,38168,35097,35102,28737,28741,22415,22418,45840,45840
6,2019-10-30,38386,38471,38232,38317,35162,35239,28790,28853,22456,22506,46105,46265
7,2019-10-31,38531,38796,38377,38641,35294,35537,28898,29097,22541,22696,46335,46775
8,2019-11-01,38811,38856,38656,38700,35551,35592,29108,29142,22704,22731,46660,46725
9,2019-11-04,38784,38825,38629,38669,35526,35564,29088,29119,22689,22713,46670,46715
10,2019-11-05,38749,38746,38575,38572,35494,35491,29062,29060,22668,22666,46505,46535
11,2019-11-06,38393,38448,38220,38275,35168,35218,28795,28836,22460,22492,45427,45565
12,2019-11-07,38564,38342,38390,38169,35325,35121,28923,28757,22560,22430,45725,45430
13,2019-11-08,38171,38072,37999,37901,34965,34874,28628,28554,22330,22272,44435,44300
14,2019-11-11,38065,38127,37913,37974,34868,34924,28549,28595,22268,22304,44175,44280
15,2019-11-13,38168,38363,38015,38209,34962,35141,28626,28772,22328,22443,44440,44675
16,2019-11-14,38384,38383,38230,38229,35160,35159,28788,28787,22455,22454,44805,44875
17,2019-11-15,38196,38246,38043,38093,34989,35033,28647,28685,22345,22374,44360,44380
18,2019-11-18,38147,38099,37994,37946,34942,34889,28610,28574,22316,22288,44265,44160
19,2019-11-19,38408,38224,38254,38071,35182,35013,28806,28668,22469,22361,44940,44790
20,2019-11-20,38380,38454,38226,38300,35156,35224,28785,28841,22452,22496,44930,44960
21,2019-11-21,38293,38257,38140,38104,35076,35043,28720,28693,22401,22380,44760,44720
22,2019-11-22,38235,38310,38082,38157,35023,35092,28676,28733,22368,22411,44825,45000
23,2019-11-25,38003,38023,37851,37871,34811,34830,28502,28518,22232,22244,44240,44250
24,2019-11-26,37929,37954,37777,37802,34743,34766,28447,28466,22189,22203,44210,44250
25,2019-11-27,37887,37906,37735,37754,34704,34722,28415,28430,22164,22175,44335,44425
26,2019-11-28,37921,37933,37769,37781,34736,34747,28441,28450,22184,22191,44340,44345
27,2019-11-29,38040,38019,37888,37867,34845,34825,28530,28514,22253,22241,44395,44370
28,2019-12-02,38051,37979,37899,37827,34855,34789,28538,28484,22260,22218,44345,44200
29,2019-12-03,38015,38265,37863,38111,34822,35051,28511,28699,22239,22385,44170,44560
30,2019-12-04,38540,38338,38386,38184,35303,35118,28905,28754,22546,22428,45025,44700
31,2019-12-05,38324,38181,38171,38028,35105,34974,28743,28636,22420,22336,44215,43980
32,2019-12-06,38140,38175,37987,38022,34936,34968,28605,28631,22312,22332,44065,44115
